"Reference","Qty","Value","Footprint","MPN","Manufacturer","Mouser_PN"
"C101,C102","2","100nF","Capacitor_SMD:C_1206_3216Metric","GRM3195C2A104JA01D","muRata","81-GRM31C5C2A104JA1L"
"C201,C202,C205","3","1.3nF","Capacitor_SMD:C_0402_1005Metric","C0402C132J5GACTU","KEMET","80-C0402C132J5GACTU"
"C203","1","2nF","Capacitor_SMD:C_0402_1005Metric","C0402C202J3GACTU","KEMET","80-C0402C202J3G"
"C204,C209","2","510pF","Capacitor_SMD:C_0402_1005Metric","GRT1555C1H511FA02D","muRata","81-GRT1555C1H511FA2D"
"C206","1","910pF","Capacitor_SMD:C_0402_1005Metric","GRT1555C1H911FA02D","muRata","81-GRT1555C1H911FA2D"
"C207,C208","2","200pF","Capacitor_SMD:C_0402_1005Metric","GCM1555C1H201FA16D","muRata","81-GCM1555C1H201FA6D"
"C210,C211","2","75pF","Capacitor_SMD:C_0402_1005Metric","GCM1555C1H750FA16J","muRata","81-GCM1555C1H750FA6J"
"C212","1","470pF","Capacitor_SMD:C_0402_1005Metric","GRM1555C2A471GE01D","muRata","81-GRM1555C2A471GE1D"
"C213,C214","2","39pF","Capacitor_SMD:C_0402_1005Metric","GRM1555C2A390JA01D","muRata","81-GRM1555C2A390JA1D"
"C215","1","430pF","Capacitor_SMD:C_0402_1005Metric","GRT1555C1H431FA02D","muRata","81-GRT1555C1H431FA2D"
"C216,C219","2","1.6nF","Capacitor_SMD:C_0805_2012Metric","GRM2165C1H162JA01D","muRata","81-GRM2165C1H162JA1D"
"C217,C218","2","910pF","Capacitor_SMD:C_0805_2012Metric","08051A911JAT2A","Kyocera","581-08051A911JAT2A"
"J101,J102","2","SMA","Library:733910083","73391-0083","Molex","538-73391-0083"
"J103","1","Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical_SMD","M20-8761046","Harwin","855-M20-8761046"
"L201,L202,L216,L217,L218","5","3.3uH","Inductor_SMD:L_1812_4532Metric","1812CS-332XJR","Coilcraft","994-1812CS-332XJRC"
"L203,L204","2","2.2uH","Inductor_SMD:L_1812_4532Metric","1812CS-222XJR","Coilcraft","994-1812CS-222XJRC"
"L205","1","2,2uH","Inductor_SMD:L_1812_4532Metric","1812CS-222XJR","Coilcraft","994-1812CS-222XJRC"
"L206,L207,L208","3","1.2uH","Inductor_SMD:L_1812_4532Metric","1812CS-122XJR","Coilcraft","994-1812CS-122XJRC"
"L209","1","470nH","Inductor_SMD:L_1206_3216Metric","1206CS-471XJR","Coilcraft","994-1206CS-471XJRC"
"L210,L211,L213,L214","4","1uH","Inductor_SMD:L_1812_4532Metric","1812CS-102XJR","Coilcraft","994-1812CS-102XJRC"
"L212","1","150nH","Inductor_SMD:L_1206_3216Metric","1206CS-151XJR","Coilcraft","994-1206CS-151XJRC"
"L215","1","82nH","Inductor_SMD:L_1206_3216Metric","1206CS-820XJR","Coilcraft","994-1206CS-820XJRC"
"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110","10","10k","Resistor_SMD:R_0603_1608Metric","RC0402JR-7D10KL","YAGEO","603-RC0402JR-7D10KL"
"U201,U202,U203,U204,U205,U206,U207,U208,U209,U210","10","AS183-92LF","Library:SOT65P220X110-6N","AS183-92LF","Skyworks","873-AS183-92LF"
