Designator,Mid X,Mid Y,Rotation,Layer
C101,6.5,28.5,180.0,top
C102,83.5,28.5,180.0,top
C201,3.4,47.6,0.0,top
C202,21.8,47.6,180.0,top
C203,8.8,42.4,0.0,top
C204,28.28,50.8,0.0,top
C205,51.6,50.8,0.0,top
C206,39.8,54.8,90.0,top
C207,43.8,36.4,180.0,top
C208,64.2,36.4,180.0,top
C209,54.0,37.8,270.0,top
C210,67.4,45.8,180.0,top
C211,87.6,45.8,180.0,top
C212,77.4,47.12,270.0,top
C213,43.0,17.4,0.0,top
C214,64.12,17.4,180.0,top
C215,54.0,18.72,270.0,top
C216,15.0,30.0,90.0,top
C217,16.0,37.4,0.0,top
C218,34.4,36.8,0.0,top
C219,37.6,33.65,270.0,top
J101,4.94,34.96,0.0,top
J102,85.16,34.96,180.0,top
J103,14.77,17.125,90.0,top
L201,6.0,45.0,0.0,top
L202,20.0,45.0,0.0,top
L203,13.0,53.4,270.0,top
L204,30.8,53.4,0.0,top
L205,49.0,53.4,0.0,top
L206,39.9,47.2,90.0,top
L207,45.6,39.0,0.0,top
L208,62.4,39.0,0.0,top
L209,54.0,43.4,270.0,top
L210,69.0,48.4,0.0,top
L211,85.8,48.4,0.0,top
L212,77.4,53.0,270.0,top
L213,45.6,20.0,0.0,top
L214,62.4,20.0,0.0,top
L215,54.0,24.4,270.0,top
L216,17.225,33.8,0.0,top
L217,25.2125,39.0,270.0,top
L218,33.2,33.8,180.0,top
R101,3.4,5.4,270.0,top
R102,5.933333,5.4,270.0,top
R103,8.466667,5.4,270.0,top
R104,11.0,5.4,270.0,top
R105,13.533333,5.4,270.0,top
R106,16.066667,5.4,270.0,top
R107,18.6,5.4,270.0,top
R108,21.133333,5.4,270.0,top
R109,23.666667,5.4,270.0,top
R110,26.2,5.4,270.0,top
U201,3.6,51.4,90.0,top
U202,18.9,48.65,180.0,top
U203,24.65,55.5,90.0,top
U204,70.05,55.7,90.0,top
U205,31.1,44.25,180.0,top
U206,83.1,41.55,90.0,top
U207,32.35,22.7,90.0,top
U208,82.5,19.55,0.0,top
U209,13.9,26.45,180.0,top
U210,32.35,28.5,270.0,top
