Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C1401, C1402, C1501, C1502, C1601, C1602, C1701, C1702, C1801, C1802, C1901, C1902, C401, C501, C601",1206,17,100nF,
"C1201, C1202, C1205, C1206, C1207, C1208, C1218, C1410, C1510, C1610, C1710, C1810, C1910, C207, C209, C210, C211, C222, C402, C502, C602",0603,21,10uF,
"C1203, C1209, C1210, C1212, C1213, C1214, C1216, C1217, C1301, C1404, C1504, C1604, C1704, C1804, C1904, C203, C204, C205, C206, C212, C213, C317",0402,22,1uF,
"C1204, C1303, C1306, C1307, C1311, C1312, C1314, C1316, C1403, C1405, C1503, C1505, C1603, C1605, C1703, C1705, C1803, C1805, C1903, C1905, C214, C215, C216, C217, C218, C219, C221, C223, C224, C229, C230, C307, C309, C311, C313, C314, C318, C319, C321, C403, C404, C503, C504, C603, C604",0603,45,100nF,
C1211,0603,1,220pF,
C1215,0402,1,1nF,
"C1302, C1304, C1315, C225, C310, C315",0805,6,4.7uF,
"C1305, C705",0603,2,130pF,
"C1308, C1309, C1310, C1317, C303, C304",0603,6,10nF,
"C1313, C708",0603,2,1nF,
"C1406, C1407, C1506, C1507, C1606, C1607, C1706, C1707, C1806, C1807, C1906, C1907",0603,12,150pF,
"C1408, C1409, C1508, C1509, C1608, C1609, C1708, C1709, C1808, C1809, C1908, C1909, C711",0603,13,3.3nF,
"C201, C202",0603,2,2.2uF,
"C2033, C2034, C2035, C2036",0402,4,100nF,
C208,1206,1,47uF,
"C220, C226, C227, C228",0402,4,27pF,
"C301, C302, C305, C306",CP_EIA-3528-21_Kemet-B,4,2.2uF,
"C308, C312, C316, C320",0805,4,10uF,
"C405, C406, C407, C408, C505, C506, C507, C508, C605, C606, C607, C608",0603,12,470pF,
C701,0603,1,8pF,
C702,0603,1,16pF,
C703,0603,1,32pF,
C704,0603,1,68pF,
C706,0603,1,240pF,
C707,0603,1,560pF,
C709,0603,1,2.2nF,
C710,0603,1,3.9nF,
C712,0603,1,4.7nF,
D101,D_SOD-882,1,TPD1E0B04DPY,
"D1201, D1203",D_SOD-923,2,ESD9B5.0ST5G,
D1202,D_SMB,1,SMBJ15A,SMBJ15A
D301,SP0402BELC01ETG,1,SP0402B-ELC-01ETG,
"FB1201, FB1301, FB201, FB301, FB302",0603,5,600,
GD101,GDT3535S1RP,1,350V,
J101,733910083,1,SMA,
J1201,USB_C_Receptacle_HRO_TYPE-C-31-M-12-bursted,1,pwr+data,
J201,68710814022,1,68710814022,
J202,FTSH10501LDVK,1,FTSH-105-01-L-DV-K,
L1201,IND_XGL4030_COC,1,1uH,
L1202,0805,1,2.2uH,
"L301, L302, L701",1210,3,1.5uH,
L702,1210,1,220nH,
"R1003, R1005",0402,2,120,
R1004,0402,1,107,
R101,0603,1,100k,
"R1103, R1105",0402,2,176,
R1104,0402,1,25.5,
"R1201, R1207",0603,2,1k,
"R1202, R1208",0603,2,5.1k,
R1203,0402,1,57.6k,
"R1204, R1401, R1402, R1403, R1404, R1501, R1502, R1503, R1504, R1601, R1602, R1603, R1604, R1701, R1702, R1703, R1704, R1801, R1802, R1803, R1804, R1901, R1902, R1903, R1904, R201, R203, R206, R207, R219, R220, R401, R501, R601",0402,34,10k,
"R1205, R1301",0402,2,100k,
"R1206, R204",0402,2,22.1k,
"R1405, R1406, R1505, R1506, R1605, R1606, R1705, R1706, R1805, R1806, R1905, R1906",0402,12,330,
"R202, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218",0402,12,22,
R205,0603,1,8.06k,
"R302, R303, R304, R305, R306, R307",0402,6,47k,
"R308, R309",0402,2,33,
"R803, R805",0402,2,34.4,
R804,0402,1,562,
"R903, R905",0402,2,66.5,
R904,0402,1,267,
"U1001, U1002, U1101, U1102, U701, U702, U703, U704, U705, U706, U707, U708, U709, U710, U711, U712, U801, U802, U901, U902",SOT65P220X110-6N,20,AS183-92LF,
U1201,SOT-23-6,1,LMR51430,
U1202,SOT-563,1,TPS6123,
U1203,DBV0005A-MFG,1,TPS7A2050PDBVR,
"U1204, U1206",SOT-23-6,2,TPS22918DBVR,
U1207,SON65P300X300X100-9N-D,1,TPS74612PQWDRBRQ1,
U1208,DBV0005A-MFG,1,TPS7A2033PDBVR,
U1301,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48I,
"U1401, U1501, U1601, U1701, U1801, U1901",21-0061L_MXM,6,MAX9939AUB+T,
"U2001, U2002, U2003, U2004",QFN50P300X300X60-20N-D,4,STM32C011F4U6TR,
U201,LQFP-100_14x14mm_P0.5mm,1,STM32H753VITx,
U202,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,USB3343,
U301,VSSOP-8_3x3mm_P0.65mm,1,OPA1692IDGK,
U302,QFN50P900X900X100-65N,1,AK5578EN,
"U401, U501, U601",TS3A4751-RUC14,3,TS3A4751RUCR,
Y1301,ECSTXO201633400TR,1,40MHz,
"Y201, Y202",Crystal_SMD_2520-4Pin_2.5x2.0mm,2,26MHz,
