Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C1401, C1402, C1501, C1502, C1601, C1602, C1701, C1702, C1801, C1802, C1901, C1902, C401, C501, C601",1206,17,100nF,GRM3195C2A104JA01D
"C1201, C1202, C1208, C1404, C1504, C1604, C1704, C1804, C1904, C213, C227, C402, C502, C602",0603,14,10uF,81-GXT155R71E223KE1D
"C1203, C1210, C1211, C1217, C1218, C1302, C1405, C1505, C1605, C1705, C1805, C1905, C221, C223, C316",0402,15,1uF,GRM155R61E105KE11D
"C1204, C1303, C1305, C1306, C1309, C1311, C1314, C1316, C1403, C1406, C1503, C1506, C1603, C1606, C1703, C1706, C1803, C1806, C1903, C1906, C211, C212, C219, C222, C231, C307, C308, C311, C312, C315, C318, C319, C321, C403, C404, C503, C504, C603, C604",0603,39,100nF,C0805F104K1RACAUTO
"C1205, C1206, C1207, C1209, C216, C218, C220",0603,7,10uF,
C1212,0603,1,220pF,C1608C0G1H221F080AA
"C1213, C1214, C1215, C209, C210, C214, C215",0402,7,1uF,
C1216,0402,1,1nF,GRM155R61E105KE11D
"C1301, C1304, C1307, C225, C309, C314",0805,6,4.7uF,298D475X9010M2T
"C1308, C701",0603,2,8pF,CGA3E2C0G1H080D080AA
"C1310, C1312, C1313",0603,3,10nF,
"C1315, C708",0603,2,1nF,C1608C0G1H102J080AA
"C1317, C303, C304",0603,3,10nF,GCM1885C2A103JE02J
"C1407, C1408, C1507, C1508, C1607, C1608, C1707, C1708, C1807, C1808, C1907, C1908",0603,12,150pF,06033A151FAT2A
"C1409, C1410, C1509, C1510, C1609, C1610, C1709, C1710, C1809, C1810, C1909, C1910, C712",0603,13,3.3nF,C1608C0G1H332J080AE
"C2001, C2002, C2003, C2004",0402,4,100nF,
"C201, C204, C224, C226, C228, C229, C230",0603,7,100nF,
"C202, C203, C207, C208",0402,4,27pF,
"C205, C206",0603,2,2.2uF,
C217,1206,1,47uF,TCTAL1A107M8R-V1
"C301, C302, C305, C306",CP_EIA-3528-21_Kemet-B,4,2.2uF,TMCP1D225MTR2F
"C310, C313, C317, C320",0805,4,10uF,TAJD106K050RNJ
"C405, C406, C407, C408, C505, C506, C507, C508, C605, C606, C607, C608",0603,12,470pF,
C702,0603,1,16pF,CGA3E2C0G1H150J080AA
C703,0603,1,32pF,CGA3E2C0G1H330J080AA
C704,0603,1,68pF,CGA3E2C0G1H680J080AA
C705,0603,1,130pF,CGA3E2C0G1H121J080AA
C706,0603,1,240pF,06035A251JAT2A
C707,0603,1,560pF,CGA3E2C0G1H561J080AA
C709,0603,1,2.2nF,CGA3E2C0G1H222J080AE
C710,0603,1,3.9nF,CGA3E2C0G1H392J080AA
C711,0603,1,4.7nF,CGA3E2C0G1H822J080AE
D101,D_SOD-882,1,TPD1E0B04DPY,
D1201,D_SMB,1,SMBJ15A,SMBJ15A
"D1202, D1203",D_SOD-923,2,ESD9B5.0ST5G,
D301,SP0402BELC01ETG,1,SP0402B-ELC-01ETG,SP0402B-ELC-01ETG
"FB1201, FB1301, FB201, FB301, FB302",0603,5,600,MI0603J601R-10
GD101,GDT3535S1RP,1,350V,GDT35-35-S1-RP
J101,733910083,1,SMA,733910083
J1201,USB_C_Receptacle_HRO_TYPE-C-31-M-12-bursted,1,pwr+data,TYPE-C-31-M-12
J201,68710814022,1,68710814022,5034800800
J202,FTSH10501LDVK,1,FTSH-105-01-L-DV-K,
L1201,IND_XGL4030_COC,1,1uH,XGL4030-102MEC
L1202,0805,1,2.2uH,
"L301, L302, L701",1210,3,1.5uH,NLV32T-1R5J-EF
L702,1210,1,220nH,NLV32T-2R7J-EF
"R1001, R1003, R1101, R1103, R801, R803, R901, R903",0402,8,34.4,
"R1002, R1102, R802, R902",0402,4,562,
R101,0603,1,100k,ERJ-P08J104V
R1201,0402,1,57.6k,
"R1202, R1401, R1402, R1403, R1404, R1501, R1502, R1503, R1504, R1601, R1602, R1603, R1604, R1701, R1702, R1703, R1704, R1801, R1802, R1803, R1804, R1901, R1902, R1903, R1904, R202, R214, R217, R218, R219, R220, R401, R501, R601",0402,34,10k,
"R1203, R1301, R1302, R1305, R1307",0402,5,100k,
"R1204, R215",0402,2,22.1k,
"R1205, R1208",0603,2,1k,
"R1206, R1207",0603,2,5.1k,
"R1303, R1304, R1306, R1308, R1405, R1406, R1505, R1506, R1605, R1606, R1705, R1706, R1805, R1806, R1905, R1906, R201",0402,17,330,
"R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R309, R310, R311, R312",0402,15,22,
R216,0603,1,8.06k,
"R301, R302, R303, R304, R305, R306",0402,6,47k,
"R307, R308",0402,2,33,
SW201,Panasonic_EVQPUK_EVQPUB,1,Push button switch,
"U1001, U1002, U1101, U1102, U801, U802, U901, U902",SOT65P220X110-6N,8,AS183-92LF,AS183-92LF
U1201,SOT-23-6,1,LMR51430,
U1202,SOT-563,1,TPS61023,
U1203,DBV0005A-MFG,1,TPS7A2050PDBVR,
"U1204, U1206",SOT-23-6,2,TPS22918DBVR,TPS22918DBVR
U1205,DBV0005A-MFG,1,TPS7A2033PDBVR,
U1207,SON65P300X300X100-9N-D,1,TPS74612PQWDRBRQ1,TPS74612PQWDRBRQ1
U1301,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48I,
"U1401, U1501, U1601, U1701, U1801, U1901",21-0061L_MXM,6,MAX9939AUB+T,
"U2001, U2002, U2003, U2004",QFN50P300X300X60-20N-D,4,STM32C011F4U6TR,
U201,LQFP-100_14x14mm_P0.5mm,1,STM32H753VITx,
U202,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,USB3343,USB3343-CP-TR
U301,VSSOP-8_3x3mm_P0.65mm,1,OPA1692IDGK,
U302,QFN50P900X900X100-65N,1,AK5578EN,AK5578EN
"U401, U501, U601",TS3A4751-RUC14,3,TS3A4751RUCR,
"U701, U702, U703, U704, U705, U706, U707, U708, U709, U710, U711, U712",SOT65P220X110-6N,12,AS183-92LF,
Y1301,ECSTXO201633400TR,1,40MHz,ECS-TXO-2016-33-400-TR
"Y201, Y202",Crystal_SMD_2520-4Pin_2.5x2.0mm,2,26MHz,E2X260181G01
