Designator,Mid X,Mid Y,Rotation,Layer
C101,83.7,80.475,270.0,top
C102,82.00082,85.892982,180.0,top
C1201,90.8763,43.5713,180.0,top
C1202,85.25,32.66,0.0,top
C1203,85.02,31.375,0.0,top
C1204,88.0,37.125,90.0,top
C1205,91.970357,36.645,180.0,top
C1206,91.970357,34.653754,180.0,top
C1207,80.775,37.61,0.0,top
C1208,91.970357,32.662509,180.0,top
C1209,80.775,36.1,0.0,top
C1210,84.6,49.82,90.0,top
C1211,85.37357,54.83518,180.0,top
C1212,78.985,27.75,180.0,top
C1213,93.0,60.3,90.0,top
C1214,30.88,12.725,0.0,top
C1215,94.9,65.375,90.0,top
C1216,27.25,33.03,90.0,top
C1217,24.48,12.725,180.0,top
C1218,25.85,30.35,90.0,top
C1301,22.25,34.6,0.0,top
C1302,26.851424,20.201516,270.0,top
C1303,28.151424,19.596516,270.0,top
C1304,10.201424,22.721516,180.0,top
C1305,10.401424,24.521516,180.0,top
C1306,12.3075,19.93,270.0,top
C1307,14.09,19.74,270.0,top
C1308,9.6,31.1,90.0,top
C1309,10.401424,26.021516,180.0,top
C1310,10.376424,27.521516,180.0,top
C1311,18.051424,21.496516,270.0,top
C1312,19.551424,21.496516,270.0,top
C1313,16.1,34.096714,90.0,top
C1314,16.551424,21.521516,90.0,top
C1315,17.88,34.1,270.0,top
C1316,22.126424,32.871516,0.0,top
C1317,22.126424,31.371516,0.0,top
C1401,69.55,66.45,90.0,top
C1402,71.85,66.45,90.0,top
C1403,73.8,64.425,90.0,top
C1404,75.3,64.425,90.0,top
C1405,74.975,55.55,0.0,top
C1406,75.55,56.75,0.0,top
C1407,72.982656,52.844143,180.0,top
C1408,69.95,52.85,180.0,top
C1409,72.25,50.525,90.0,top
C1410,70.65,50.575,90.0,top
C1501,30.400063,66.285,90.0,top
C1502,32.700063,66.285,90.0,top
C1503,37.250063,62.685,90.0,top
C1504,28.725,61.025,270.0,top
C1505,35.487874,55.099054,0.0,top
C1506,36.062874,56.299054,0.0,top
C1507,34.12053,52.743197,180.0,top
C1508,31.087874,52.749054,180.0,top
C1509,33.387874,50.424054,90.0,top
C1510,31.787874,50.474054,90.0,top
C1601,5.475063,66.285,90.0,top
C1602,7.775063,66.285,90.0,top
C1603,12.325063,62.685,90.0,top
C1604,4.9,60.75,270.0,top
C1605,10.562874,55.099054,0.0,top
C1606,11.137874,56.299054,0.0,top
C1607,9.19553,52.743197,180.0,top
C1608,6.162874,52.749054,180.0,top
C1609,8.462874,50.424054,90.0,top
C1610,6.862874,50.474054,90.0,top
C1701,54.7,66.275,90.0,top
C1702,57.0,66.275,90.0,top
C1703,61.55,62.675,90.0,top
C1704,53.8,61.55,180.0,top
C1705,59.787811,55.089054,0.0,top
C1706,60.362811,56.289054,0.0,top
C1707,58.420467,52.733197,180.0,top
C1708,55.387811,52.739054,180.0,top
C1709,57.687811,50.414054,90.0,top
C1710,56.087811,50.464054,90.0,top
C1801,45.250063,66.46,90.0,top
C1802,47.550063,66.46,90.0,top
C1803,49.500063,64.435,90.0,top
C1804,50.1,60.725,270.0,top
C1805,50.675063,55.56,0.0,top
C1806,51.250063,56.76,0.0,top
C1807,48.682719,52.854143,180.0,top
C1808,45.650063,52.86,180.0,top
C1809,47.950063,50.535,90.0,top
C1810,46.350063,50.585,90.0,top
C1901,20.325063,66.46,90.0,top
C1902,22.625063,66.46,90.0,top
C1903,24.575063,64.435,90.0,top
C1904,25.225,60.725,270.0,top
C1905,25.750063,55.56,0.0,top
C1906,26.325063,56.76,0.0,top
C1907,23.757719,52.854143,180.0,top
C1908,20.725063,52.86,180.0,top
C1909,23.025063,50.535,90.0,top
C1910,21.425063,50.585,90.0,top
C2001,53.70082,73.817982,180.0,top
C2002,61.57582,73.842982,180.0,top
C2003,70.80082,71.767982,180.0,top
C2004,43.10082,73.917982,180.0,top
C201,53.95,4.075,180.0,top
C202,48.4,12.1,180.0,top
C203,48.4,15.6,180.0,top
C204,53.975,27.55,180.0,top
C205,68.5,5.175,270.0,top
C206,74.740829,20.675,0.0,top
C207,79.17,20.55,0.0,top
C208,81.975,20.925,90.0,top
C209,82.3,11.375,0.0,top
C210,83.77,16.0,180.0,top
C211,83.975,12.65,180.0,top
C212,76.7,16.15,270.0,top
C213,9.625,16.3,180.0,top
C214,77.9,15.575,90.0,top
C215,78.4,7.52,270.0,top
C216,8.4,12.35,180.0,top
C217,72.490829,4.375,270.0,top
C218,70.490829,5.15,270.0,top
C219,48.95,6.95,270.0,top
C220,56.240829,24.6,90.0,top
C221,52.400829,16.375,180.0,top
C222,52.45,6.95,270.0,top
C223,50.4,9.5,180.0,top
C224,53.125,17.6,180.0,top
C225,50.7,6.725,270.0,top
C226,51.375,10.8,180.0,top
C227,17.875,6.7,180.0,top
C228,74.525,24.0,0.0,top
C229,58.0,4.925,270.0,top
C230,52.55,19.1,180.0,top
C231,74.515829,22.475,0.0,top
C301,78.625,67.375,270.0,top
C302,82.0,54.875,90.0,top
C303,89.95,64.475,90.0,top
C304,95.9625,55.315,0.0,top
C305,92.4,66.325,270.0,top
C306,94.4,51.765,90.0,top
C307,85.3625,60.335,90.0,top
C308,39.525,34.06,0.0,top
C309,39.3,35.86,0.0,top
C310,56.4,37.9,0.0,top
C311,56.175,39.65,0.0,top
C312,38.975,32.56,0.0,top
C313,48.65,44.0,90.0,top
C314,38.75,30.76,0.0,top
C315,50.45,43.9,90.0,top
C316,41.805,28.26,270.0,top
C317,34.275,34.3,180.0,top
C318,39.78,28.96,180.0,top
C319,34.5,36.1,180.0,top
C320,34.3,32.1,180.0,top
C321,34.525,30.35,180.0,top
C401,40.625063,53.735,90.0,top
C402,40.250063,62.685,90.0,top
C403,38.750063,62.685,90.0,top
C404,38.725063,54.135,90.0,top
C405,43.750063,59.16,0.0,top
C406,43.750063,57.66,0.0,top
C407,36.175063,57.96,180.0,top
C408,36.175063,59.46,180.0,top
C501,15.700063,53.735,90.0,top
C502,15.325063,62.685,90.0,top
C503,13.825063,62.685,90.0,top
C504,13.800063,54.135,90.0,top
C505,18.825063,59.16,0.0,top
C506,18.825063,57.66,0.0,top
C507,11.250063,57.96,180.0,top
C508,11.250063,59.46,180.0,top
C601,64.925,53.725,90.0,top
C602,64.55,62.675,90.0,top
C603,63.05,62.675,90.0,top
C604,63.025,54.125,90.0,top
