Ref,Qty,Target_Value,Target_Footprint,Target_Voltage,Target_CapType,Search_Query,Existing_MPN,Existing_Mouser_PN,Suggested_MPN,Suggested_Mouser_PN,Notes
C101,1,100nF,1206,100V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 100V)"
C102,1,100nF,1206,100V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 100V)"
C201,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C202,1,27pF,0402,50V,NP0,Capacitor NP0 27pF 50V 0402,,,04025A270JAT2A,581-04025A270J,"Stock: 1527101 In Stock, Price: $0.14, WARNING: Footprint mismatch? (Expected 0402); Dielectric mismatch? (Expected NP0)"
C203,1,27pF,0402,50V,NP0,Capacitor NP0 27pF 50V 0402,,,04025A270JAT2A,581-04025A270J,"Stock: 1527101 In Stock, Price: $0.14, WARNING: Footprint mismatch? (Expected 0402); Dielectric mismatch? (Expected NP0)"
C204,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C205,1,2.2uF,0603,50V,X7R,Capacitor X7R 2.2uF 50V 0603,,,CML0603X7R104KT50V,708-CML0603X7R104K50,"Stock: 19515 In Stock, Price: $0.10"
C206,1,2.2uF,0603,50V,X7R,Capacitor X7R 2.2uF 50V 0603,,,CML0603X7R104KT50V,708-CML0603X7R104K50,"Stock: 19515 In Stock, Price: $0.10"
C207,1,27pF,0402,50V,NP0,Capacitor NP0 27pF 50V 0402,,,04025A270JAT2A,581-04025A270J,"Stock: 1527101 In Stock, Price: $0.14, WARNING: Footprint mismatch? (Expected 0402); Dielectric mismatch? (Expected NP0)"
C208,1,27pF,0402,50V,NP0,Capacitor NP0 27pF 50V 0402,,,04025A270JAT2A,581-04025A270J,"Stock: 1527101 In Stock, Price: $0.14, WARNING: Footprint mismatch? (Expected 0402); Dielectric mismatch? (Expected NP0)"
C209,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C210,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C211,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
