"Refs","Qty","Value","Footprint","Voltage","Mfr","MPN","Mouser_PN","Description","Unit_Price","Total_Price"
"C101,C102,C1405,C1407,C1501,C1502,C1601,C1602,C1701,C1702,C1801,C1802,C1901,C1902,C401,C501,C601","17","100nF","1206","100.0","Murata Electronics","GRM3195C2A104JA01D","81-GRM3195C2A104JA1D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 100 VDC 5% 1206 C0G (NP0)",0.1750,2.97
"C1304,C1403,C1406,C1408,C1410,C1413,C1415,C1417,C1424,C1426,C1503,C1506,C1603,C1606,C1703,C1706,C1803,C1806,C1903,C1906,C201,C204,C211,C212,C219,C222,C224,C226,C228,C229,C230,C231,C307,C308,C311,C312,C315,C318,C319,C321,C403,C404,C503,C504,C603,C604","46","100nF","0603","50.0","KEMET","C0805F104K1RACAUTO","80-C0805F104K1RAUTO","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 0.1uF 10% X7R -55 / +125C AEC-Q200",0.0920,4.23
"C202,C203,C207,C208","4","27pF","0402","50.0","YAGEO","CC0402JRNPO0BN330","603-CC0402JRNP0BN330","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 33pF C0G 0402 5%",0.1000,0.40
"C205,C206","2","2.2uF","0603","50.0","YAGEO","CC0603KRX7R9BB104","603-CC603KRX7R9BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0603 10%",0.1000,0.20
"C1303,C1310,C1311,C1313,C1314,C1315,C1317,C1318,C1402,C1412,C1505,C1605,C1705,C1805,C1905,C209,C210,C214,C215,C221,C223,C316","22","1uF","0402","25.0","Murata Electronics","GRM155R61E105KE11D","81-GRM155R61E105KE1D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 25 VDC 10% 0402 X5R",0.0470,1.03
"C1301,C1302,C1305,C1306,C1307,C1308,C1309,C1411,C1504,C1604,C1704,C1804,C1904,C213,C216,C218,C220,C227,C402,C502,C602","21","10uF","0603","25.0","Murata Electronics","GXT155R71E223KE01D","81-GXT155R71E223KE1D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 25VDC 0.022uF 10% X7R AEC-Q200",0.0380,0.80
"C217","1","47uF","1206","25.0","YAGEO","CC1206MKX5R8BB475","603-CC206MKX5R8BB475","Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 4.7uF X5R 1206 20% HI CV",0.4800,0.48
"C1401,C1404,C1409,C225,C309,C314","6","4.7uF","0805","10.0","Vishay / Sprague","298D475X9010M2T","74-298D475X9010M2T","Tantalum Capacitors - Solid SMD 4.7uF 10volts 10% M case MAP",1.1500,6.90
"C301,C302,C305,C306","4","2.2uF","0805","10.0","Vishay / Sprague","TMCP1D225MTR2F","74-TMCP1D225MTR2F","Tantalum Capacitors - Solid SMD 20volts 2.2uF 20% Molded Case, 0805",0.4200,1.68
"C1416,C1420,C1421,C1427,C303,C304","6","10nF","0603","25.0","Murata Electronics","GCM1885C2A103JE02J","81-GCM1885C2A103JE2J","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 100VDC 10000pF 5% C0G AEC-Q200",0.1900,1.14
"C310,C313,C317,C320","4","10uF","0805","10.0","KYOCERA AVX","TAJD106K050RNJ","581-TAJD106K050R","Tantalum Capacitors - Solid SMD 50V 10uF 10% 2917 ES R= 800 mOhm",1.6000,6.40
"C405,C406,C407,C408,C505,C506,C507,C508,C605,C606,C607,C608","12","470pF","0603","50.0","KYOCERA AVX","KGM15ACG1H471FT","581-KGM15ACG1H471FT","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 470pF C0G 0603 1 %",0.1700,2.04
"C1414,C701","2","8pF","0603","50.0","TDK","CGA3E2C0G1H080D080AA","810-CGA3E2C0G1H080D","Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 0603 50V 8pF C0G 0.50pF AEC-Q200",0.1400,0.28
"C702","1","16pF","0603","50.0","TDK","CGA3E2C0G1H150J080AA","810-CGA3E2C0G1H150J","Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 0603 50V 15pF C0G 5% AEC-Q200",0.1400,0.14
"C703","1","32pF","0603","50.0","TDK","CGA3E2C0G1H330J080AA","810-CGA3E2C0G1H330J","Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 0603 50V 33pF C0G 5% AEC-Q200",0.1400,0.14
"C704","1","68pF","0603","50.0","TDK","CGA3E2C0G1H680J080AA","810-CGA3E2C0G1H680J","Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 0603 50V 68pF C0G 5% AEC-Q200",0.1400,0.14
"C705","1","130pF","0603","50.0","TDK","CGA3E2C0G1H121J080AA","810-CGA3E2C0G1H121J","Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 0603 50V 120pF C0G 5% AEC-Q200",0.1400,0.14
"C706","1","240pF","0603","50.0","KYOCERA AVX","06035A251JAT2A","581-06035A251J","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 250pF 50V C0G 5 % REORD 581-06035A221K",0.2600,0.26
"C707","1","560pF","0603","50.0","TDK","CGA3E2C0G1H561J080AA","810-CGA3E2C0G1H561J","Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 0603 50V 560pF C0G 5% AEC-Q200",0.1400,0.14
"C1425,C708","2","1nF","0603","50.0","TDK","C1608C0G1H102J080AA","810-C1608C0G1H102J","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 50V 1000pF C0G 5% T: 0.8mm",0.1300,0.26
"C709","1","2.2nF","0603","50.0","TDK","CGA3E2C0G1H222J080AE","810-CGA3E2C0G1H222J8","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 50VDC 2.2nF 5% C0G AEC-Q200",0.2100,0.21
"C710","1","3.9nF","0603","50.0","TDK","CGA3E2C0G1H392J080AA","810-CGA3E2C0G1H392J","Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 0603 50V 3900pF C0G 5% AEC-Q200",0.2200,0.22
"C711","1","4.7nF","0603","50.0","TDK","CGA3E2C0G1H822J080AE","810-CGA3E2C0G1H822J8","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 50VDC 8.2nF 5% C0G AEC-Q200",0.3200,0.32
"C1422,C1423,C1509,C1510,C1609,C1610,C1709,C1710,C1809,C1810,C1909,C1910,C712","13","3.3nF","0603","50.0","TDK","C1608C0G1H332J080AE","810-C1608C0G1H332J08","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 50VDC 3.3nF 5% C0G",0.1060,1.38
"C1201,C1202,C1203,C1204","4","100nF","0402","0.0","YAGEO","CC0402KRX7R7BB104","603-CC402KRX7R7BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16 V 0.1uF X7R 0402 10%",0.1000,0.40
"C1312","1","220pF","0603","50.0","TDK","C1608C0G1H221F080AA","810-C1608C0G1H221F","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 50VDC 220pF C0G 0.8mm",0.3000,0.30
"C1316","1","1nF","0402","25.0","Murata Electronics","GRM155R61E105KE11D","81-GRM155R61E105KE1D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 25 VDC 10% 0402 X5R",0.1100,0.11
"C1418,C1419,C1507,C1508,C1607,C1608,C1707,C1708,C1807,C1808,C1907,C1908","12","150pF","0603","50.0","YAGEO","CC0603JPNPO0BN220","603-CC0603JPNP0BN220","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 22pF C0G 0603 5%",0.0290,0.35
"D101","1","TPD1E0B04DPY","D_SOD-882","0.0","Texas Instruments","TPD1E0B04DPYR","595-TPD1E0B04DPYR","ESD Protection Diodes / TVS Diodes 0.13-pF +/-3.6-V + / -8-kV ESD protectio A 595-TPD1E0B04DPYT",0.5400,0.54
"D301","1","SP0402B-ELC-01ETG","0402","0.0","Littelfuse","SP0402B-ELC-01ETG","576-SP0402BELC-01ETG","ESD Protection Diodes / TVS Diodes 5V .15pF 22kV",0.4600,0.46
"D1301","1","SMBJ15A","D_SMB","0.0","Semtech","SMBJ15A","947-SMBJ15A","ESD Protection Diodes / TVS Diodes 1-Line 15V 24.6A TVS DO-214AA(SMB)",0.7100,0.71
"D1302,D1303","2","ESD9B5.0ST5G","D_SOD-923","0.0","onsemi","ESD9B5.0ST5G","863-ESD9B5.0ST5G","ESD Protection Diodes / TVS Diodes BiDIRECTIONAL ESD PROTECTION",0.1000,0.20
"FB1301,FB1401,FB201,FB301,FB302","5","600","0603","0.0","Laird Technologies","MI0603J601R-10","875-MI0603J601R-10","Ferrite Beads 600ohms 100MHz 1A Monolithic 0603 SMD",0.1000,0.50
"GD101","1","350V","GDT3535S1RP","0.0","Bourns","GDT35-35-S1-RP","652-GDT35-35-S1-RP","Gas Discharge Tubes - GDTs / Gas Plasma Arrestors Next-Generation GDT 5mm 350V",1.6300,1.63
"J101","1","SMA","733910083","0.0","Molex","73391-0083","538-73391-0083","RF Connectors / Coaxial Connectors SMA RA JACK, PCB",7.1100,7.11
"J201","1","68710814022","68710814022","0.0","Molex","503480-0800","538-503480-0800","FFC & FPC Connectors .5mm FPC 8P CONN RA SMT B-FLIP DUAL",0.8000,0.80
"J202","1","FTSH-105-01-L-DV-K","FTSH10501LDVK","0.0","Samtec","FTSH-105-01-L-DV-K","200-FTSH10501LDVK","Headers & Wire Housings High Reliability Header Strips",1.5600,1.56
"J1301","1","pwr+data","USB_C_Receptacle_HRO_TYPE-C-31-M-12-bursted","0.0","Same Sky","UJ20-C-H-G-SMT-1A-P16-TR","179-CHGSMT1AP16TR","USB Connectors USB Jack, Type C, 2.0, SMT, Horizontal, Gold Flash, 16 Pin, TR",0.4800,0.48
"L301,L302,L701","3","1.5uH","1210","0.0","TDK","NLV32T-1R5J-EF","810-NLV32T-1R5J-EF","RF Inductors - SMD 1.5uH 850mohms 370mA Wound Ferrite",0.1700,0.51
"L702","1","220nH","1210","0.0","TDK","NLV32T-2R7J-EF","810-NLV32T-2R7J-EF","RF Inductors - SMD 2.7uH 1.1ohms 290mA Wound Ferrite",0.1700,0.17
"L1301","1","1uH","IND_XGL4030_COC","0.0","Coilcraft","PFD2015-102MEC","994-PFD2015-102MEC","Coupled Inductors 1uH 20% 1.13A 165mOhms",1.1200,1.12
"L1302","1","2.2uH","0805","0.0","Murata Electronics","DFE252010P-2R2M=P2","81-DFE252010P-2R2MP2","Power Inductors - SMD 2.2  UH  20%",0.2100,0.21
"R101","1","100k","0603","0.0","Panasonic","ERJ-P08J104V","667-ERJ-P08J104V","Thick Film Resistors - SMD 1206 100Kohms 0.66W 5% AEC-Q200",0.1500,0.15
