Refs,Qty,Value,Footprint,Manufacturer,MPN,LCSC_PN,Mouser_PN,Description
"C101,C102,C401,C501,C601,C1401,C1402,C1501,C1502,C1601,C1602,C1701,C1702,C1801,C1802,C1901,C1902",17,100nF,1206,Murata,GRM3195C2A104JA01D,C170182,81-GRM31C5C2A104JA1L,"Capacitor, MLCC, NP0, 100V, 5%, 100nF, 1206"
"C201,C202",2,2.2uF,0603,,,C100082,,"Capacitor, MLCC, X7R, 50V, 10%, 2.2uF, 0603"
"C203-C206,C212,C213,C317,C1203,C1209,C1210,C1212-C1214,C1216,C1217,C1301,C1404,C1504,C1604,C1704,C1804,C1904",22,1uF,0402,Murata,GRM155R61E105KE11D,C301928,81-GRM155R61E105KE1D,"Capacitor, MLCC, X5R, 25V, 10%, 1uF, 0402"
"C207,C209-C211,C222,C402,C502,C602,C1201,C1202,C1205-C1208,C1218,C1410,C1510,C1610,C1710,C1810,C1910",21,10uF,0603,Taoup Uidem,81-GXT155R71E223KE1D,C327087,963-MLAST168BB5106MT,"Capacitor, MLCC, X7R, 25V, 10%, 10uF, 0603"
C208,1,47uF,1206,Kyocera AVX,TCTAL1A107M8R-V1,C403725,755-TCTAL1A107M8R-V1,"Capacitor, MLCC, X5R, 25V, 10%, 47uF, 1206"
"C214-C219,C221,C223,C224,C229,C230,C307,C309,C311,C313,C314,C318,C319,C321,C403,C404,C503,C504,C603,C604,C1204,C1303,C1306,C1307,C1311,C1312,C1314,C1316,C1403,C1405,C1503,C1505,C1603,C1605,C1703,C1705,C1803,C1805,C1903,C1905",45,100nF,0603,Kemet,C0805F104K1RACAUTO,C24452,80-C0805F104K1RAUTO,"Capacitor, MLCC, X7R, 50V, 5%, 100nF, 0603"
"C220,C226-C228",4,27pF,0402,,,C107045,,"Capacitor, MLCC, NP0, 50V, 5%, 27pF, 0402"
"C225,C310,C315,C1302,C1304,C1315",6,4.7uF,0805,Vishay/Sprague,298D475X9010M2T,C18535241,74-298D475X9010M2T,"Capacitor, Tantalum, 10V, 10%, 4.7uF, 0805"
"C301,C302,C305,C306",4,2.2uF,CP_EIA-3528-21_Kemet-B,Vishay/Sprague,TMCP1D225MTR2F,C4979223,74-TMCP1D225MTR2F,"Capacitor, Tantalum, 50V, 10%, 2.2uF, CP_EIA-3528-21_Kemet-B"
"C303,C304,C1308-C1310,C1317",6,10nF,0603,Murata,GCM1885C2A103JE02J,C115056,81-GCM1885C2A103JE2J,"Capacitor, MLCC, X7R, 25V, 5%, 10nF, 0603"
"C308,C312,C316,C320",4,10uF,0805,Kyocera AVX,TAJD106K050RNJ,C4983748,581-TAJD106K050R,"Capacitor, Tantalum, 50V, 10%, 10uF, 0805"
"C405-C408,C505-C508,C605-C608",12,470pF,0603,Kyocera AVX,KGM15ACG1H471FT,C106211,581-KGM15ACG1H471FT,"Capacitor, MLCC, NP0, 50V, 5%, 470pF, 0603"
"C701,C1305",2,8pF,0603,TDK,CGA3E2C0G1H080D080AA,C1882476,810-CGA3E2C0G1H080D,"Capacitor, MLCC, NP0, 50V, 5%, 8pF, 0603"
C702,1,16pF,0603,TDK,CGA3E2C0G1H150J080AA,C327125,810-CGA3E2C0G1H150J,"Capacitor, MLCC, NP0, 50V, 5%, 16pF, 0603"
C703,1,32pF,0603,TDK,CGA3E2C0G1H330J080AA,C107047,810-CGA3E2C0G1H330J,"Capacitor, MLCC, NP0, 50V, 5%, 32pF, 0603"
C704,1,68pF,0603,TDK,CGA3E2C0G1H680J080AA,C282073,810-CGA3E2C0G1H680J,"Capacitor, MLCC, NP0, 50V, 5%, 68pF, 0603"
C705,1,130pF,0603,TDK,CGA3E2C0G1H121J080AA,C519399,810-CGA3E2C0G1H121J,"Capacitor, MLCC, NP0, 50V, 5%, 130pF, 0603"
C706,1,240pF,0603,Kyocera AVX,06035A251JAT2A,C519400,581-06035A251J,"Capacitor, MLCC, NP0, 50V, 5%, 240pF, 0603"
C707,1,560pF,0603,TDK,CGA3E2C0G1H561J080AA,C107054,810-CGA3E2C0G1H561J,"Capacitor, MLCC, NP0, 50V, 5%, 560pF, 0603"
"C708,C1313",2,1nF,0603,TDK,C1608C0G1H102J080AA,C106246,810-C1608C0G1H102J,"Capacitor, MLCC, NP0, 50V, 5%, 1nF, 0603"
C709,1,2.2nF,0603,TDK,CGA3E2C0G1H222J080AE,C107043,810-CGA3E2C0G1H222J8,"Capacitor, MLCC, NP0, 50V, 5%, 2.2nF, 0603"
C710,1,3.9nF,0603,TDK,CGA3E2C0G1H392J080AA,C576817,810-CGA3E2C0G1H392J,"Capacitor, MLCC, NP0, 50V, 5%, 3.9nF, 0603"
"C711,C1408,C1409,C1508,C1509,C1608,C1609,C1708,C1709,C1808,C1809,C1908,C1909",13,3.3nF,0603,TDK,C1608C0G1H332J080AE,C107048,810-C1608C0G1H332J08,"Capacitor, MLCC, NP0, 25V, 5%, 3.3nF, 0603"
