ref,value,footprint,cap_type,working_voltage,lcsc,mpn,file
C,C,,,,,,NexRx.kicad_sch
GD,GDT_3Pin,,,,,,NexRx.kicad_sch
R,R_US,,,,,,NexRx.kicad_sch
D,ESD131-B1-W0201,Diode_SMD:Infineon_SG-WLL-2-3_0.58x0.28_P0.36mm,,,,,NexRx.kicad_sch
T,,,,,,,NexRx.kicad_sch
J,SMA,,,,,,NexRx.kicad_sch
FID,Fiducial,,,,,,NexRx.kicad_sch
H,MountingHole_Pad,,,,,,NexRx.kicad_sch
U,OPA1692xDGK,Package_SO:VSSOP-8_3x3mm_P0.65mm,,,,,rx-signal-chain.kicad_sch
C,C,,,,,,rx-signal-chain.kicad_sch
FB,FerriteBead_Small,,,,,,rx-signal-chain.kicad_sch
L,L_Ferrite_Small,,,,,,rx-signal-chain.kicad_sch
R,R_US,,,,,,rx-signal-chain.kicad_sch
IC,AK5578EN,QFN50P900X900X100-65N,,,,AK5578EN,rx-signal-chain.kicad_sch
D,SP0402B-ELC-01ETG,SP0402BELC01ETG,,,,SP0402B-ELC-01ETG,rx-signal-chain.kicad_sch
T301,"BN-43-202, 200 : 3-way 22 ohm, hexafilar 2 turns #30 AWG",,,,,,rx-signal-chain.kicad_sch
C,C,,,,,,fpga.kicad_sch
FB,FerriteBead_Small,,,,,,fpga.kicad_sch
R,R_US,,,,,,fpga.kicad_sch
Y,ECS-TXO-2016-33-400-TR,Library:ECSTXO201633400TR,,,,ECS-TXO-2016-33-400-TR,fpga.kicad_sch
U,ICE40UP5K-SG48ITR,Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,,,,,fpga.kicad_sch
J,Conn_ARM_JTAG_SWD_10,,,,,,microcontroller.kicad_sch
TP,TestPoint_Alt,,,,,,microcontroller.kicad_sch
C,C,,,,,,microcontroller.kicad_sch
C,C_Small_US,,,,,,microcontroller.kicad_sch
FB,FerriteBead_Small,,,,,,microcontroller.kicad_sch
R,R_Small_US,,,,,,microcontroller.kicad_sch
R,R_US,,,,,,microcontroller.kicad_sch
U,USB3343,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,,,,microcontroller.kicad_sch
IC,68710814022,Library:68710814022,,,,68710814022,microcontroller.kicad_sch
Y202,26MHz,Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm,,,,E2X260181G01,microcontroller.kicad_sch
U203,STM32H753VITx,Package_QFP:LQFP-100_14x14mm_P0.5mm,,,,,microcontroller.kicad_sch
C,C,,,,,,power.kicad_sch
C,C_Small_US,,,,,,power.kicad_sch
FB,FerriteBead_Small,,,,,,power.kicad_sch
L,L,,,,,,power.kicad_sch
L,L_Small,,,,,,power.kicad_sch
R,R_US,,,,,,power.kicad_sch
D,ESD9B5.0ST5G,Diode_SMD:D_SOD-923,,,,,power.kicad_sch
D,Z2SMBxxx,Diode_SMD:D_SMB,,,,,power.kicad_sch
U,PTPS7A2012PDBVR,DBV0005A-IPC_A,,,,,power.kicad_sch
U,TPS22918DBVR,SOT95P280X145-6N,,,,TPS22918DBVR,power.kicad_sch
U,,,,,,,power.kicad_sch
U,TPS74612PQWDRBRQ1,SON65P300X300X100-9N-D,,,,TPS74612PQWDRBRQ1,power.kicad_sch
J,USB_C_Receptacle_USB2.0_16P-bursted,,,,,,power.kicad_sch
U,LMR51430,Package_TO_SOT_SMD:SOT-23-6,,,,,power.kicad_sch
C,C,,,,,,rx-presel.kicad_sch
L,L_Ferrite_Small,,,,,,rx-presel.kicad_sch
S,AS183-92LF,Library:SOT65P220X110-6N,,,,AS183-92LF,rx-presel.kicad_sch
C,C,,,,,,qsd.kicad_sch
R,R_US,,,,,,qsd.kicad_sch
U,TS3A4751RUCR,Library:TS3A4751-RUC14,,,,,qsd.kicad_sch
C,C,,,,,,PGA.kicad_sch
C,C_US,,,,,,PGA.kicad_sch
R,R_US,,,,,,PGA.kicad_sch
U1403,MAX9939AUB+T,symbols:21-0061L_MXM,,,,,PGA.kicad_sch
R,R_US,,,,,,tpad.kicad_sch
S,AS183-92LF,Library:SOT65P220X110-6N,,,,AS183-92LF,tpad.kicad_sch
C,C_Small_US,,,,,,gpio-expander.kicad_sch
U,STM32C011F_4-6_Ux,Package_DFN_QFN:ST_UFQFPN-20_3x3mm_P0.5mm,,,,,gpio-expander.kicad_sch
